Gender,AgeClass,Event,WeightClass,AnnualImprovement
M,24-34,B,63.5,15.5
M,35-39,B,64.4,-1.3333333333333333
M,35-39,B,58.36,
M,40-44,B,63.58,
M,35-39,B,58.5,6.5
M,35-39,B,64.54,-5.333333333333333
M,40-44,B,72.1,-5.0
M,40-44,B,64.55,-1.0
M,24-34,B,55.61,-0.5714285714285714
M,40-44,B,64.99,3.0
M,35-39,B,64.54,-1.7857142857142858
M,24-34,B,59.75,17.5
M,24-34,B,68.9,-0.0
M,24-34,B,56.0,11.0
M,24-34,B,56.0,-2.0
M,35-39,B,58.92,4.0
M,35-39,B,59.0,1.2
M,24-34,B,59.52,0.2222222222222222
M,40-44,B,72.6,-3.6666666666666665
M,35-39,B,64.8,3.25
M,40-44,B,68.97,5.0
M,24-34,B,63.13,7.6
M,35-39,B,68.04,15.0
M,35-39,B,67.64,4.0
M,24-34,B,58.15,6.25
M,40-44,B,67.0,1.0
M,35-39,B,65.87,5.8
M,24-34,B,63.6,5.6
M,35-39,B,66.08,13.0
M,35-39,B,64.91,6.0
M,24-34,B,59.65,
M,35-39,B,64.95,
M,35-39,B,68.22,-5.0
M,35-39,B,64.46,-5.0
M,35-39,B,66.65,2.5
M,24-34,B,70.65,-3.0
M,24-34,B,70.0,15.0
M,24-34,B,75.95,2.0
M,24-34,B,71.23,4.0
M,24-34,B,75.9,12.333333333333334
M,24-34,B,71.5,-0.0
M,24-34,B,75.07,1.9230769230769231
M,20-23,B,55.07,
M,24-34,B,64.59,
M,24-34,B,71.7,0.0
M,24-34,B,71.5,0.0
M,24-34,B,71.19,-6.666666666666667
M,24-34,B,71.3,-20.0
M,24-34,B,71.32,2.0
M,20-23,B,59.1,6.75
M,20-23,B,55.7,4.375
M,24-34,B,64.46,10.0
M,20-23,B,55.45,4.875
M,24-34,B,71.98,9.0
M,24-34,B,71.58,1.7857142857142858
M,20-23,B,55.35,9.166666666666666
M,20-23,B,55.5,12.5
M,20-23,B,57.7,2.5
M,20-23,B,59.0,
M,24-34,B,71.34,
M,24-34,B,64.71,4.583333333333333
M,20-23,B,55.3,7.1
M,24-34,B,64.28,12.0
M,24-34,B,71.05,7.5
M,20-23,B,55.56,-1.3888888888888888
M,24-34,B,71.97,-14.333333333333334
M,18-19,B,66.2,13.0
M,13-15,B,56.68,14.25
M,20-23,B,69.36,
M,20-23,B,70.6,7.75
M,16-17,B,69.58,12.166666666666666
M,20-23,B,97.09,3.0
M,20-23,B,89.4,3.0
M,20-23,B,95.16,2.0
M,20-23,B,93.2,43.0
M,20-23,B,89.94,25.0
M,18-19,B,70.6,12.0
M,35-39,B,78.15,1.0
M,24-34,B,65.08,-1.0769230769230769
M,40-44,B,75.41,-3.0
M,35-39,B,77.98,-1.0
M,24-34,B,65.6,7.25
M,24-34,B,59.8,
M,35-39,B,76.31,
M,35-39,B,77.68,1.3571428571428572
M,24-34,B,63.55,5.0
M,24-34,B,59.5,12.5
M,24-34,B,77.1,8.0
M,24-34,B,58.79,-2.0
M,24-34,B,59.85,0.5
M,24-34,B,78.9,0.0
M,24-34,B,59.13,3.6
M,24-34,B,77.84,3.6
M,24-34,B,59.05,-2.3333333333333335
M,24-34,B,64.24,-5.0
M,24-34,B,64.85,3.0
M,24-34,B,79.29,6.0
M,24-34,B,84.95,2.0
M,24-34,B,85.2,20.0
M,24-34,B,85.49,10.0
M,24-34,B,86.4,14.5
M,24-34,B,85.34,16.0
M,24-34,B,85.33,19.333333333333332
M,35-39,B,81.7,
M,40-44,B,85.76,
M,35-39,B,85.5,-0.5
M,24-34,B,82.7,3.25
M,24-34,B,84.38,
M,24-34,B,71.92,
M,24-34,B,85.69,0.0
M,24-34,B,87.97,7.0
M,24-34,B,86.4,23.0
M,24-34,B,83.33,1.0
M,24-34,B,77.25,13.0
M,20-23,B,71.0,9.4
M,24-34,B,83.8,1.0
M,24-34,B,83.59,9.5
M,20-23,B,72.9,10.5
M,24-34,B,83.75,13.2
M,20-23,B,73.5,13.8
M,24-34,B,84.19,13.5
M,24-34,B,74.9,3.0
M,24-34,B,84.64,2.6666666666666665
M,35-39,B,88.5,10.0
M,35-39,B,88.37,7.0
M,24-34,B,95.0,16.75
M,24-34,B,105.64,11.0
M,24-34,B,95.98,25.0
M,24-34,B,94.98,35.0
M,24-34,B,96.05,25.0
M,24-34,B,95.56,-2.5
M,24-34,B,95.75,8.0
M,35-39,B,104.94,3.0
M,35-39,B,106.21,4.0
M,35-39,B,105.5,-3.0
M,35-39,B,105.74,15.0
M,24-34,B,96.36,2.0
M,35-39,B,105.65,4.5
M,35-39,B,94.2,-1.25
M,40-44,B,86.44,0.0
M,24-34,B,92.74,2.5
M,35-39,B,96.32,4.0
M,24-34,B,74.15,2.0
M,35-39,B,92.79,0.4
M,24-34,B,84.6,3.3333333333333335
M,24-34,B,75.0,5.625
M,35-39,B,94.08,4.6875
M,24-34,B,74.45,15.0
M,24-34,B,73.1,10.0
M,24-34,B,73.15,5.416666666666667
M,35-39,B,96.25,6.875
